ArtistId	Name	AlbumId	AlbumTitle
27	Gilberto Gil	85	As Canções de Eu Tu Eles
27	Gilberto Gil	86	Quanta Gente Veio Ver (Live)
36	O Rappa	259	Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro
37	Ed Motta	47	The Best of Ed Motta
41	Elis Regina	71	Elis Regina-Minha História
42	Milton Nascimento	159	Minas
42	Milton Nascimento	158	Milton Nascimento Ao Vivo
46	Jorge Ben	122	Jorge Ben Jor 25 Anos
50	Metallica	153	ReLoad
50	Metallica	156	...And Justice For All
50	Metallica	148	Black Album
50	Metallica	151	Load
50	Metallica	154	Ride The Lightning
50	Metallica	35	Garage Inc. (Disc 1)
50	Metallica	149	Garage Inc. (Disc 2)
50	Metallica	152	Master Of Puppets
50	Metallica	155	St. Anger
50	Metallica	150	Kill 'Em All
51	Queen	185	Greatest Hits I
51	Queen	186	News Of The World
51	Queen	36	Greatest Hits II
52	Kiss	37	Greatest Kiss
52	Kiss	126	Unplugged [Live]
53	Spyro Gyra	38	Heart of the Night
53	Spyro Gyra	204	Morning Dance
54	Green Day	89	American Idiot
54	Green Day	39	International Superhits
55	David Coverdale	40	Into The Light
56	Gonzaguinha	41	Meus Momentos
57	Os Mutantes	42	Minha História
58	Deep Purple	60	Fireball
58	Deep Purple	63	Purpendicular
58	Deep Purple	66	The Battle Rages On
58	Deep Purple	43	MK III The Final Concerts [Disc 1]
58	Deep Purple	58	Come Taste The Band
58	Deep Purple	61	Knocking at Your Back Door: The Best Of Deep Purple in the 80's
58	Deep Purple	64	Slaves And Masters
58	Deep Purple	50	The Final Concerts (Disc 2)
58	Deep Purple	59	Deep Purple In Rock
58	Deep Purple	62	Machine Head
58	Deep Purple	65	Stormbringer
59	Santana	197	Santana - As Years Go By
59	Santana	46	Supernatural
59	Santana	198	Santana Live
68	Miles Davis	49	The Essential Miles Davis [Disc 2]
68	Miles Davis	157	Miles Ahead
68	Miles Davis	48	The Essential Miles Davis [Disc 1]
69	Gene Krupa	51	Up An' Atom
70	Toquinho & Vinícius	52	Vinícius De Moraes - Sem Limite
72	Vinícius De Moraes	247	Vinicius De Moraes
76	Creedence Clearwater Revival	55	Chronicle, Vol. 2
76	Creedence Clearwater Revival	54	Chronicle, Vol. 1
77	Cássia Eller	57	Cássia Eller - Sem Limite [Disc 1]
77	Cássia Eller	56	Cássia Eller - Coleção Sem Limite [Disc 2]
78	Def Leppard	67	Vault: Def Leppard's Greatest Hits
79	Dennis Chambers	68	Outbreak
80	Djavan	69	Djavan Ao Vivo - Vol. 02
80	Djavan	70	Djavan Ao Vivo - Vol. 1
81	Eric Clapton	72	The Cream Of Clapton
81	Eric Clapton	73	Unplugged
82	Faith No More	75	Angel Dust
82	Faith No More	76	King For A Day Fool For A Lifetime
82	Faith No More	74	Album Of The Year
82	Faith No More	77	The Real Thing
83	Falamansa	78	Deixa Entrar
84	Foo Fighters	81	One By One
84	Foo Fighters	79	In Your Honor [Disc 1]
84	Foo Fighters	82	The Colour And The Shape
84	Foo Fighters	80	In Your Honor [Disc 2]
85	Frank Sinatra	83	My Way: The Best Of Frank Sinatra [Disc 1]
86	Funk Como Le Gusta	84	Roda De Funk
87	Godsmack	88	Faceless
88	Guns N' Roses	92	Use Your Illusion II
88	Guns N' Roses	90	Appetite for Destruction
88	Guns N' Roses	91	Use Your Illusion I
89	Incognito	93	Blue Moods
90	Iron Maiden	95	A Real Dead One
90	Iron Maiden	98	Dance Of Death
90	Iron Maiden	101	Killers
90	Iron Maiden	104	Live At Donington 1992 (Disc 2)
90	Iron Maiden	107	Powerslave
90	Iron Maiden	110	Seventh Son of a Seventh Son
90	Iron Maiden	113	The X Factor
90	Iron Maiden	96	A Real Live One
90	Iron Maiden	99	Fear Of The Dark
90	Iron Maiden	102	Live After Death
90	Iron Maiden	105	No Prayer For The Dying
90	Iron Maiden	108	Rock In Rio [CD1]
90	Iron Maiden	111	Somewhere in Time
90	Iron Maiden	114	Virtual XI
90	Iron Maiden	94	A Matter of Life and Death
90	Iron Maiden	97	Brave New World
90	Iron Maiden	100	Iron Maiden
90	Iron Maiden	103	Live At Donington 1992 (Disc 1)
90	Iron Maiden	106	Piece Of Mind
90	Iron Maiden	109	Rock In Rio [CD2]
90	Iron Maiden	112	The Number of The Beast
91	James Brown	115	Sex Machine
92	Jamiroquai	116	Emergency On Planet Earth
92	Jamiroquai	117	Synkronized
92	Jamiroquai	118	The Return Of The Space Cowboy
93	JET	119	Get Born
94	Jimi Hendrix	120	Are You Experienced?
95	Joe Satriani	121	Surfing with the Alien (Remastered)
96	Jota Quest	123	Jota Quest-1995
97	João Suplicy	124	Cafezinho
98	Judas Priest	125	Living After Midnight
99	Legião Urbana	139	A TempestadeTempestade Ou O Livro Dos Dias
99	Legião Urbana	140	Mais Do Mesmo
100	Lenny Kravitz	141	Greatest Hits
101	Lulu Santos	142	Lulu Santos - RCA 100 Anos De Música - Álbum 01
101	Lulu Santos	143	Lulu Santos - RCA 100 Anos De Música - Álbum 02
102	Marillion	144	Misplaced Childhood
103	Marisa Monte	145	Barulhinho Bom
104	Marvin Gaye	146	Seek And Shall Find: More Of The Best (1963-1981)
105	Men At Work	147	The Best Of Men At Work
106	Motörhead	160	Ace Of Spades
108	Mônica Marianno	161	Demorou...
109	Mötley Crüe	162	Motley Crue Greatest Hits
110	Nirvana	163	From The Muddy Banks Of The Wishkah [Live]
110	Nirvana	164	Nevermind
111	O Terço	165	Compositores
112	Olodum	166	Olodum
113	Os Paralamas Do Sucesso	168	Arquivo II
113	Os Paralamas Do Sucesso	169	Arquivo Os Paralamas Do Sucesso
113	Os Paralamas Do Sucesso	167	Acústico MTV
114	Ozzy Osbourne	171	Blizzard of Ozz
114	Ozzy Osbourne	174	Tribute
114	Ozzy Osbourne	256	Speak of the Devil
114	Ozzy Osbourne	172	Diary of a Madman (Remastered)
114	Ozzy Osbourne	170	Bark at the Moon (Remastered)
114	Ozzy Osbourne	173	No More Tears (Remastered)
115	Page & Plant	175	Walking Into Clarksdale
116	Passengers	176	Original Soundtracks 1
117	Paul D'Ianno	177	The Beast Live
118	Pearl Jam	180	Riot Act
118	Pearl Jam	178	Live On Two Legs [Live]
118	Pearl Jam	181	Ten
118	Pearl Jam	179	Pearl Jam
118	Pearl Jam	182	Vs.
120	Pink Floyd	183	Dark Side Of The Moon
121	Planet Hemp	184	Os Cães Ladram Mas A Caravana Não Pára
122	R.E.M. Feat. Kate Pearson	187	Out Of Time
124	R.E.M.	188	Green
124	R.E.M.	189	New Adventures In Hi-Fi
124	R.E.M.	190	The Best Of R.E.M.: The IRS Years
125	Raimundos	191	Cesta Básica
126	Raul Seixas	192	Raul Seixas
127	Red Hot Chili Peppers	194	By The Way
127	Red Hot Chili Peppers	195	Californication
127	Red Hot Chili Peppers	193	Blood Sugar Sex Magik
128	Rush	196	Retrospective I (1974-1980)
130	Skank	200	O Samba Poconé
130	Skank	199	Maquinarama
131	Smashing Pumpkins	201	Judas 0: B-Sides and Rarities
131	Smashing Pumpkins	202	Rotten Apples: Greatest Hits
132	Soundgarden	203	A-Sides
133	Stevie Ray Vaughan & Double Trouble	205	In Step
134	Stone Temple Pilots	206	Core
135	System Of A Down	207	Mezmerize
136	Terry Bozzio, Tony Levin & Steve Stevens	208	[1997] Black Light Syndrome
137	The Black Crowes	209	Live [Disc 1]
137	The Black Crowes	210	Live [Disc 2]
138	The Clash	211	The Singles
139	The Cult	212	Beyond Good And Evil
139	The Cult	213	Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]
140	The Doors	214	The Doors
141	The Police	215	The Police Greatest Hits
142	The Rolling Stones	217	No Security
142	The Rolling Stones	218	Voodoo Lounge
142	The Rolling Stones	216	Hot Rocks, 1964-1971 (Disc 1)
143	The Tea Party	220	Transmission
143	The Tea Party	219	Tangents
144	The Who	221	My Generation - The Very Best Of The Who
145	Tim Maia	223	Serie Sem Limite (Disc 2)
145	Tim Maia	222	Serie Sem Limite (Disc 1)
146	Titãs	224	Acústico
146	Titãs	225	Volume Dois
147	Battlestar Galactica	226	Battlestar Galactica: The Story So Far
147	Battlestar Galactica	227	Battlestar Galactica, Season 3
148	Heroes	228	Heroes, Season 1
149	Lost	229	Lost, Season 3
149	Lost	261	LOST, Season 4
149	Lost	230	Lost, Season 1
149	Lost	231	Lost, Season 2
150	U2	255	Instant Karma: The Amnesty International Campaign to Save Darfur
150	U2	232	Achtung Baby
150	U2	235	How To Dismantle An Atomic Bomb
150	U2	238	The Best Of 1980-1990
150	U2	233	All That You Can't Leave Behind
150	U2	236	Pop
150	U2	239	War
150	U2	234	B-Sides 1980-1990
150	U2	237	Rattle And Hum
150	U2	240	Zooropa
151	UB40	241	UB40 The Best Of - Volume Two [UK]
152	Van Halen	244	Van Halen
152	Van Halen	242	Diver Down
152	Van Halen	245	Van Halen III
152	Van Halen	243	The Best Of Van Halen, Vol. I
153	Velvet Revolver	246	Contraband
155	Zeca Pagodinho	248	Ao Vivo [IMPORT]
156	The Office	249	The Office, Season 1
156	The Office	250	The Office, Season 2
156	The Office	251	The Office, Season 3
157	Dread Zeppelin	252	Un-Led-Ed
158	Battlestar Galactica (Classic)	253	Battlestar Galactica (Classic), Season 1
159	Aquaman	254	Aquaman
179	Scorpions	257	20th Century Masters - The Millennium Collection: The Best of Scorpions
180	House Of Pain	258	House of Pain
196	Cake	260	Cake: B-Sides and Rarities
197	Aisha Duo	262	Quiet Songs
198	Habib Koité and Bamada	263	Muso Ko
199	Karsh Kale	264	Realize
200	The Posies	265	Every Kind of Light
201	Luciana Souza/Romero Lubambo	266	Duos II
202	Aaron Goldberg	267	Worlds
203	Nicolaus Esterhazy Sinfonia	268	The Best of Beethoven
204	Temple of the Dog	269	Temple of the Dog
205	Chris Cornell	270	Carry On
206	Alberto Turco & Nova Schola Gregoriana	272	Adorate Deum: Gregorian Chant from the Proper of the Mass
207	Richard Marlow & The Choir of Trinity College, Cambridge	273	Allegri: Miserere
208	English Concert & Trevor Pinnock	274	Pachelbel: Canon & Gigue
208	English Concert & Trevor Pinnock	315	Handel: Music for the Royal Fireworks (Original Version 1749)
209	Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker	275	Vivaldi: The Four Seasons
210	Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer	276	Bach: Violin Concertos
211	Wilhelm Kempff	277	Bach: Goldberg Variations
212	Yo-Yo Ma	278	Bach: The Cello Suites
213	Scholars Baroque Ensemble	279	Handel: The Messiah (Highlights)
214	Academy of St. Martin in the Fields & Sir Neville Marriner	280	The World of Classical Favourites
215	Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner	281	Sir Neville Marriner: A Celebration
216	Berliner Philharmoniker, Claudio Abbado & Sabine Meyer	282	Mozart: Wind Concertos
217	Royal Philharmonic Orchestra & Sir Thomas Beecham	283	Haydn: Symphonies 99 - 104
218	Orchestre Révolutionnaire et Romantique & John Eliot Gardiner	284	Beethoven: Symhonies Nos. 5 & 6
219	Britten Sinfonia, Ivor Bolton & Lesley Garrett	285	A Soprano Inspired
220	Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti	286	Great Opera Choruses
221	Sir Georg Solti & Wiener Philharmoniker	287	Wagner: Favourite Overtures
222	Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair	288	Fauré: Requiem, Ravel: Pavane & Others
223	London Symphony Orchestra & Sir Charles Mackerras	289	Tchaikovsky: The Nutcracker
224	Barry Wordsworth & BBC Concert Orchestra	290	The Last Night of the Proms
225	Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker	291	Puccini: Madama Butterfly - Highlights
226	Eugene Ormandy	343	Respighi:Pines of Rome
226	Eugene Ormandy	311	Strauss: Waltzes
226	Eugene Ormandy	292	Holst: The Planets, Op. 32 & Vaughan Williams: Fantasies
227	Luciano Pavarotti	293	Pavarotti's Opera Made Easy
228	Leonard Bernstein & New York Philharmonic	294	Great Performances - Barber's Adagio and Other Romantic Favorites for Strings
229	Boston Symphony Orchestra & Seiji Ozawa	295	Carmina Burana
230	Aaron Copland & London Symphony Orchestra	296	A Copland Celebration, Vol. I
231	Ton Koopman	297	Bach: Toccata & Fugue in D Minor
232	Sergei Prokofiev & Yuri Temirkanov	298	Prokofiev: Symphony No.1
233	Chicago Symphony Orchestra & Fritz Reiner	299	Scheherazade
234	Orchestra of The Age of Enlightenment	300	Bach: The Brandenburg Concertos
235	Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra	301	Chopin: Piano Concertos Nos. 1 & 2
236	James Levine	302	Mascagni: Cavalleria Rusticana
237	Berliner Philharmoniker & Hans Rosbaud	303	Sibelius: Finlandia
238	Maurizio Pollini	304	Beethoven Piano Sonatas: Moonlight & Pastorale
240	Gustav Mahler	305	Great Recordings of the Century - Mahler: Das Lied von der Erde
241	Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos	306	Elgar: Cello Concerto & Vaughan Williams: Fantasias
242	Edo de Waart & San Francisco Symphony	307	Adams, John: The Chairman Dances
243	Antal Doráti & London Symphony Orchestra	308	Tchaikovsky: 1812 Festival Overture, Op.49, Capriccio Italien & Beethoven: Wellington's Victory
244	Choir Of Westminster Abbey & Simon Preston	309	Palestrina: Missa Papae Marcelli & Allegri: Miserere
245	Michael Tilson Thomas & San Francisco Symphony	312	Berlioz: Symphonie Fantastique
245	Michael Tilson Thomas & San Francisco Symphony	310	Prokofiev: Romeo & Juliet
246	Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker	313	Bizet: Carmen Highlights
247	The King's Singers	314	English Renaissance
248	Berliner Philharmoniker & Herbert Von Karajan	316	Grieg: Peer Gynt Suites & Sibelius: Pelléas et Mélisande
248	Berliner Philharmoniker & Herbert Von Karajan	320	Mozart: Symphonies Nos. 40 & 41
248	Berliner Philharmoniker & Herbert Von Karajan	336	Prokofiev: Symphony No.5 & Stravinksy: Le Sacre Du Printemps
249	Sir Georg Solti, Sumi Jo & Wiener Philharmoniker	317	Mozart Gala: Famous Arias
250	Christopher O'Riley	318	SCRIABIN: Vers la flamme
251	Fretwork	319	Armada: Music from the Courts of England and Spain
252	Amy Winehouse	322	Frank
252	Amy Winehouse	321	Back to Black
253	Calexico	323	Carried to Dust (Bonus Track Version)
254	Otto Klemperer & Philharmonia Orchestra	324	Beethoven: Symphony No. 6 'Pastoral' Etc.
255	Yehudi Menuhin	325	Bartok: Violin & Viola Concertos
256	Philharmonia Orchestra & Sir Neville Marriner	326	Mendelssohn: A Midsummer Night's Dream
257	Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart	327	Bach: Orchestral Suites Nos. 1 - 4
258	Les Arts Florissants & William Christie	328	Charpentier: Divertissements, Airs & Concerts
259	The 12 Cellists of The Berlin Philharmonic	329	South American Getaway
260	Adrian Leaper & Doreen de Feis	330	Górecki: Symphony No. 3
261	Roger Norrington, London Classical Players	331	Purcell: The Fairy Queen
262	Charles Dutoit & L'Orchestre Symphonique de Montréal	332	The Ultimate Relexation Album
263	Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir	333	Purcell: Music for the Queen Mary
264	Kent Nagano and Orchestre de l'Opéra de Lyon	334	Weill: The Seven Deadly Sins
265	Julian Bream	335	J.S. Bach: Chaconne, Suite in E Minor, Partita in E Major & Prelude, Fugue and Allegro
266	Martin Roscoe	337	Szymanowski: Piano Works, Vol. 1
267	Göteborgs Symfoniker & Neeme Järvi	338	Nielsen: The Six Symphonies
268	Itzhak Perlman	339	Great Recordings of the Century: Paganini's 24 Caprices
269	Michele Campanella	340	Liszt - 12 Études D'Execution Transcendante
270	Gerald Moore	341	Great Recordings of the Century - Shubert: Schwanengesang, 4 Lieder
271	Mela Tenenbaum, Pro Musica Prague & Richard Kapp	342	Locatelli: Concertos for Violin, Strings and Continuo, Vol. 3
272	Emerson String Quartet	344	Schubert: The Late String Quartets & String Quintet (3 CD's)
273	C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu	345	Monteverdi: L'Orfeo
274	Nash Ensemble	346	Mozart: Chamber Music
275	Philip Glass Ensemble	347	Koyaanisqatsi (Soundtrack from the Motion Picture)
