AlbumId	Title	ArtistName
71	Elis Regina-Minha História	Elis Regina
72	The Cream Of Clapton	Eric Clapton
73	Unplugged	Eric Clapton
74	Album Of The Year	Faith No More
75	Angel Dust	Faith No More
76	King For A Day Fool For A Lifetime	Faith No More
77	The Real Thing	Faith No More
78	Deixa Entrar	Falamansa
79	In Your Honor [Disc 1]	Foo Fighters
80	In Your Honor [Disc 2]	Foo Fighters
81	One By One	Foo Fighters
82	The Colour And The Shape	Foo Fighters
83	My Way: The Best Of Frank Sinatra [Disc 1]	Frank Sinatra
84	Roda De Funk	Funk Como Le Gusta
85	As Canções de Eu Tu Eles	Gilberto Gil
86	Quanta Gente Veio Ver (Live)	Gilberto Gil
87	Quanta Gente Veio ver--Bônus De Carnaval	Gilberto Gil
88	Faceless	Godsmack
89	American Idiot	Green Day
90	Appetite for Destruction	Guns N' Roses
91	Use Your Illusion I	Guns N' Roses
92	Use Your Illusion II	Guns N' Roses
93	Blue Moods	Incognito
94	A Matter of Life and Death	Iron Maiden
95	A Real Dead One	Iron Maiden
96	A Real Live One	Iron Maiden
97	Brave New World	Iron Maiden
98	Dance Of Death	Iron Maiden
99	Fear Of The Dark	Iron Maiden
100	Iron Maiden	Iron Maiden
101	Killers	Iron Maiden
102	Live After Death	Iron Maiden
103	Live At Donington 1992 (Disc 1)	Iron Maiden
104	Live At Donington 1992 (Disc 2)	Iron Maiden
105	No Prayer For The Dying	Iron Maiden
106	Piece Of Mind	Iron Maiden
107	Powerslave	Iron Maiden
108	Rock In Rio [CD1]	Iron Maiden
109	Rock In Rio [CD2]	Iron Maiden
110	Seventh Son of a Seventh Son	Iron Maiden
111	Somewhere in Time	Iron Maiden
112	The Number of The Beast	Iron Maiden
113	The X Factor	Iron Maiden
114	Virtual XI	Iron Maiden
115	Sex Machine	James Brown
116	Emergency On Planet Earth	Jamiroquai
117	Synkronized	Jamiroquai
118	The Return Of The Space Cowboy	Jamiroquai
119	Get Born	JET
120	Are You Experienced?	Jimi Hendrix
121	Surfing with the Alien (Remastered)	Joe Satriani
122	Jorge Ben Jor 25 Anos	Jorge Ben
123	Jota Quest-1995	Jota Quest
124	Cafezinho	João Suplicy
125	Living After Midnight	Judas Priest
126	Unplugged [Live]	Kiss
127	BBC Sessions [Disc 2] [Live]	Led Zeppelin
128	Coda	Led Zeppelin
129	Houses Of The Holy	Led Zeppelin
130	In Through The Out Door	Led Zeppelin
131	IV	Led Zeppelin
132	Led Zeppelin I	Led Zeppelin
133	Led Zeppelin II	Led Zeppelin
134	Led Zeppelin III	Led Zeppelin
135	Physical Graffiti [Disc 2]	Led Zeppelin
136	Presence	Led Zeppelin
137	The Song Remains The Same (Disc 1)	Led Zeppelin
138	The Song Remains The Same (Disc 2)	Led Zeppelin
139	A TempestadeTempestade Ou O Livro Dos Dias	Legião Urbana
140	Mais Do Mesmo	Legião Urbana
141	Greatest Hits	Lenny Kravitz
142	Lulu Santos - RCA 100 Anos De Música - Álbum 01	Lulu Santos
143	Lulu Santos - RCA 100 Anos De Música - Álbum 02	Lulu Santos
144	Misplaced Childhood	Marillion
145	Barulhinho Bom	Marisa Monte
146	Seek And Shall Find: More Of The Best (1963-1981)	Marvin Gaye
147	The Best Of Men At Work	Men At Work
148	Black Album	Metallica
149	Garage Inc. (Disc 2)	Metallica
150	Kill 'Em All	Metallica
151	Load	Metallica
152	Master Of Puppets	Metallica
153	ReLoad	Metallica
154	Ride The Lightning	Metallica
155	St. Anger	Metallica
156	...And Justice For All	Metallica
157	Miles Ahead	Miles Davis
158	Milton Nascimento Ao Vivo	Milton Nascimento
159	Minas	Milton Nascimento
160	Ace Of Spades	Motörhead
161	Demorou...	Mônica Marianno
162	Motley Crue Greatest Hits	Mötley Crüe
163	From The Muddy Banks Of The Wishkah [Live]	Nirvana
164	Nevermind	Nirvana
165	Compositores	O Terço
166	Olodum	Olodum
167	Acústico MTV	Os Paralamas Do Sucesso
168	Arquivo II	Os Paralamas Do Sucesso
169	Arquivo Os Paralamas Do Sucesso	Os Paralamas Do Sucesso
170	Bark at the Moon (Remastered)	Ozzy Osbourne
171	Blizzard of Ozz	Ozzy Osbourne
172	Diary of a Madman (Remastered)	Ozzy Osbourne
173	No More Tears (Remastered)	Ozzy Osbourne
174	Tribute	Ozzy Osbourne
175	Walking Into Clarksdale	Page & Plant
176	Original Soundtracks 1	Passengers
177	The Beast Live	Paul D'Ianno
178	Live On Two Legs [Live]	Pearl Jam
179	Pearl Jam	Pearl Jam
180	Riot Act	Pearl Jam
181	Ten	Pearl Jam
182	Vs.	Pearl Jam
183	Dark Side Of The Moon	Pink Floyd
184	Os Cães Ladram Mas A Caravana Não Pára	Planet Hemp
185	Greatest Hits I	Queen
186	News Of The World	Queen
187	Out Of Time	R.E.M. Feat. Kate Pearson
188	Green	R.E.M.
189	New Adventures In Hi-Fi	R.E.M.
190	The Best Of R.E.M.: The IRS Years	R.E.M.
191	Cesta Básica	Raimundos
192	Raul Seixas	Raul Seixas
193	Blood Sugar Sex Magik	Red Hot Chili Peppers
194	By The Way	Red Hot Chili Peppers
195	Californication	Red Hot Chili Peppers
196	Retrospective I (1974-1980)	Rush
197	Santana - As Years Go By	Santana
198	Santana Live	Santana
199	Maquinarama	Skank
200	O Samba Poconé	Skank
201	Judas 0: B-Sides and Rarities	Smashing Pumpkins
202	Rotten Apples: Greatest Hits	Smashing Pumpkins
203	A-Sides	Soundgarden
204	Morning Dance	Spyro Gyra
205	In Step	Stevie Ray Vaughan & Double Trouble
206	Core	Stone Temple Pilots
207	Mezmerize	System Of A Down
208	[1997] Black Light Syndrome	Terry Bozzio, Tony Levin & Steve Stevens
209	Live [Disc 1]	The Black Crowes
210	Live [Disc 2]	The Black Crowes
211	The Singles	The Clash
212	Beyond Good And Evil	The Cult
213	Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]	The Cult
214	The Doors	The Doors
215	The Police Greatest Hits	The Police
216	Hot Rocks, 1964-1971 (Disc 1)	The Rolling Stones
217	No Security	The Rolling Stones
218	Voodoo Lounge	The Rolling Stones
219	Tangents	The Tea Party
220	Transmission	The Tea Party
221	My Generation - The Very Best Of The Who	The Who
222	Serie Sem Limite (Disc 1)	Tim Maia
223	Serie Sem Limite (Disc 2)	Tim Maia
224	Acústico	Titãs
225	Volume Dois	Titãs
226	Battlestar Galactica: The Story So Far	Battlestar Galactica
227	Battlestar Galactica, Season 3	Battlestar Galactica
228	Heroes, Season 1	Heroes
229	Lost, Season 3	Lost
230	Lost, Season 1	Lost
231	Lost, Season 2	Lost
232	Achtung Baby	U2
233	All That You Can't Leave Behind	U2
234	B-Sides 1980-1990	U2
235	How To Dismantle An Atomic Bomb	U2
236	Pop	U2
237	Rattle And Hum	U2
238	The Best Of 1980-1990	U2
239	War	U2
240	Zooropa	U2
241	UB40 The Best Of - Volume Two [UK]	UB40
242	Diver Down	Van Halen
243	The Best Of Van Halen, Vol. I	Van Halen
244	Van Halen	Van Halen
245	Van Halen III	Van Halen
246	Contraband	Velvet Revolver
247	Vinicius De Moraes	Vinícius De Moraes
248	Ao Vivo [IMPORT]	Zeca Pagodinho
249	The Office, Season 1	The Office
250	The Office, Season 2	The Office
251	The Office, Season 3	The Office
252	Un-Led-Ed	Dread Zeppelin
253	Battlestar Galactica (Classic), Season 1	Battlestar Galactica (Classic)
254	Aquaman	Aquaman
255	Instant Karma: The Amnesty International Campaign to Save Darfur	U2
256	Speak of the Devil	Ozzy Osbourne
257	20th Century Masters - The Millennium Collection: The Best of Scorpions	Scorpions
258	House of Pain	House Of Pain
259	Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro	O Rappa
260	Cake: B-Sides and Rarities	Cake
261	LOST, Season 4	Lost
262	Quiet Songs	Aisha Duo
263	Muso Ko	Habib Koité and Bamada
264	Realize	Karsh Kale
265	Every Kind of Light	The Posies
266	Duos II	Luciana Souza/Romero Lubambo
267	Worlds	Aaron Goldberg
268	The Best of Beethoven	Nicolaus Esterhazy Sinfonia
269	Temple of the Dog	Temple of the Dog
270	Carry On	Chris Cornell
271	Revelations	Audioslave
272	Adorate Deum: Gregorian Chant from the Proper of the Mass	Alberto Turco & Nova Schola Gregoriana
273	Allegri: Miserere	Richard Marlow & The Choir of Trinity College, Cambridge
274	Pachelbel: Canon & Gigue	English Concert & Trevor Pinnock
275	Vivaldi: The Four Seasons	Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker
276	Bach: Violin Concertos	Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer
277	Bach: Goldberg Variations	Wilhelm Kempff
278	Bach: The Cello Suites	Yo-Yo Ma
279	Handel: The Messiah (Highlights)	Scholars Baroque Ensemble
280	The World of Classical Favourites	Academy of St. Martin in the Fields & Sir Neville Marriner
281	Sir Neville Marriner: A Celebration	Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner
282	Mozart: Wind Concertos	Berliner Philharmoniker, Claudio Abbado & Sabine Meyer
283	Haydn: Symphonies 99 - 104	Royal Philharmonic Orchestra & Sir Thomas Beecham
284	Beethoven: Symhonies Nos. 5 & 6	Orchestre Révolutionnaire et Romantique & John Eliot Gardiner
285	A Soprano Inspired	Britten Sinfonia, Ivor Bolton & Lesley Garrett
286	Great Opera Choruses	Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti
287	Wagner: Favourite Overtures	Sir Georg Solti & Wiener Philharmoniker
288	Fauré: Requiem, Ravel: Pavane & Others	Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair
289	Tchaikovsky: The Nutcracker	London Symphony Orchestra & Sir Charles Mackerras
290	The Last Night of the Proms	Barry Wordsworth & BBC Concert Orchestra
291	Puccini: Madama Butterfly - Highlights	Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker
292	Holst: The Planets, Op. 32 & Vaughan Williams: Fantasies	Eugene Ormandy
293	Pavarotti's Opera Made Easy	Luciano Pavarotti
294	Great Performances - Barber's Adagio and Other Romantic Favorites for Strings	Leonard Bernstein & New York Philharmonic
295	Carmina Burana	Boston Symphony Orchestra & Seiji Ozawa
296	A Copland Celebration, Vol. I	Aaron Copland & London Symphony Orchestra
297	Bach: Toccata & Fugue in D Minor	Ton Koopman
298	Prokofiev: Symphony No.1	Sergei Prokofiev & Yuri Temirkanov
299	Scheherazade	Chicago Symphony Orchestra & Fritz Reiner
300	Bach: The Brandenburg Concertos	Orchestra of The Age of Enlightenment
301	Chopin: Piano Concertos Nos. 1 & 2	Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra
302	Mascagni: Cavalleria Rusticana	James Levine
303	Sibelius: Finlandia	Berliner Philharmoniker & Hans Rosbaud
304	Beethoven Piano Sonatas: Moonlight & Pastorale	Maurizio Pollini
305	Great Recordings of the Century - Mahler: Das Lied von der Erde	Gustav Mahler
306	Elgar: Cello Concerto & Vaughan Williams: Fantasias	Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos
307	Adams, John: The Chairman Dances	Edo de Waart & San Francisco Symphony
308	Tchaikovsky: 1812 Festival Overture, Op.49, Capriccio Italien & Beethoven: Wellington's Victory	Antal Doráti & London Symphony Orchestra
309	Palestrina: Missa Papae Marcelli & Allegri: Miserere	Choir Of Westminster Abbey & Simon Preston
310	Prokofiev: Romeo & Juliet	Michael Tilson Thomas & San Francisco Symphony
311	Strauss: Waltzes	Eugene Ormandy
312	Berlioz: Symphonie Fantastique	Michael Tilson Thomas & San Francisco Symphony
313	Bizet: Carmen Highlights	Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker
314	English Renaissance	The King's Singers
315	Handel: Music for the Royal Fireworks (Original Version 1749)	English Concert & Trevor Pinnock
316	Grieg: Peer Gynt Suites & Sibelius: Pelléas et Mélisande	Berliner Philharmoniker & Herbert Von Karajan
317	Mozart Gala: Famous Arias	Sir Georg Solti, Sumi Jo & Wiener Philharmoniker
318	SCRIABIN: Vers la flamme	Christopher O'Riley
319	Armada: Music from the Courts of England and Spain	Fretwork
320	Mozart: Symphonies Nos. 40 & 41	Berliner Philharmoniker & Herbert Von Karajan
321	Back to Black	Amy Winehouse
322	Frank	Amy Winehouse
323	Carried to Dust (Bonus Track Version)	Calexico
324	Beethoven: Symphony No. 6 'Pastoral' Etc.	Otto Klemperer & Philharmonia Orchestra
325	Bartok: Violin & Viola Concertos	Yehudi Menuhin
326	Mendelssohn: A Midsummer Night's Dream	Philharmonia Orchestra & Sir Neville Marriner
327	Bach: Orchestral Suites Nos. 1 - 4	Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart
328	Charpentier: Divertissements, Airs & Concerts	Les Arts Florissants & William Christie
329	South American Getaway	The 12 Cellists of The Berlin Philharmonic
330	Górecki: Symphony No. 3	Adrian Leaper & Doreen de Feis
331	Purcell: The Fairy Queen	Roger Norrington, London Classical Players
332	The Ultimate Relexation Album	Charles Dutoit & L'Orchestre Symphonique de Montréal
333	Purcell: Music for the Queen Mary	Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir
334	Weill: The Seven Deadly Sins	Kent Nagano and Orchestre de l'Opéra de Lyon
335	J.S. Bach: Chaconne, Suite in E Minor, Partita in E Major & Prelude, Fugue and Allegro	Julian Bream
336	Prokofiev: Symphony No.5 & Stravinksy: Le Sacre Du Printemps	Berliner Philharmoniker & Herbert Von Karajan
337	Szymanowski: Piano Works, Vol. 1	Martin Roscoe
338	Nielsen: The Six Symphonies	Göteborgs Symfoniker & Neeme Järvi
339	Great Recordings of the Century: Paganini's 24 Caprices	Itzhak Perlman
340	Liszt - 12 Études D'Execution Transcendante	Michele Campanella
341	Great Recordings of the Century - Shubert: Schwanengesang, 4 Lieder	Gerald Moore
342	Locatelli: Concertos for Violin, Strings and Continuo, Vol. 3	Mela Tenenbaum, Pro Musica Prague & Richard Kapp
343	Respighi:Pines of Rome	Eugene Ormandy
344	Schubert: The Late String Quartets & String Quintet (3 CD's)	Emerson String Quartet
345	Monteverdi: L'Orfeo	C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu
346	Mozart: Chamber Music	Nash Ensemble
347	Koyaanisqatsi (Soundtrack from the Motion Picture)	Philip Glass Ensemble
